,question,answer,intent,reward,feedback
1,Nam cần đạt đến tuổi bao nhiêu để kết hôn?,Nam cần đủ 20 tuổi trở lên để kết hôn.,CHUONG_2,,
2,Nữ cần đạt đến tuổi bao nhiêu để kết hôn?,Nữ cần đủ 18 tuổi trở lên để kết hôn.,CHUONG_2,,
3,Ai có thẩm quyền quyết định việc kết hôn?,Việc kết hôn do nam và nữ tự nguyện quyết định.,CHUONG_2,,
4,Điều kiện nào làm cho việc kết hôn trở thành hôn nhân giả tạo?,Kết hôn giả tạo xảy ra khi nam hoặc nữ vi phạm điều kiện kết hôn.,CHUONG_2,,
5,Có cấm kết hôn giữa những người nào?,Cấm kết hôn giữa người mất năng lực hành vi dân sự.,CHUONG_2,,
6,Nhà nước có thừa nhận hôn nhân giữa những người cùng giới tính không?,"Không, Nhà nước không thừa nhận hôn nhân giữa những người cùng giới tính.",CHUONG_2,,
7,Việc kết hôn phải được thực hiện như thế nào?,Việc kết hôn phải được đăng ký và do cơ quan nhà nước có thẩm quyền thực hiện theo quy định của Luật này và pháp luật về hộ tịch.,CHUONG_2,,
8,Việc kết hôn không được đăng ký sẽ có hiệu quả gì?,"Nếu việc kết hôn không được đăng ký theo quy định, thì nó không có giá trị pháp lý.",CHUONG_2,,
9,"Khi nào vợ chồng đã ly hôn muốn xác lập lại quan hệ vợ chồng, họ phải thực hiện bước gì?",Vợ chồng đã ly hôn muốn xác lập lại quan hệ vợ chồng phải đăng ký kết hôn.,CHUONG_2,,
10,Ai là cơ quan có thẩm quyền để đăng ký việc kết hôn?,Cơ quan nhà nước có thẩm quyền là cơ quan thực hiện đăng ký việc kết hôn theo quy định của Luật này và pháp luật về hộ tịch.,CHUONG_2,,
11,Quy định của luật về hộ tịch là gì liên quan đến việc đăng ký kết hôn?,Luật về hộ tịch quy định về việc đăng ký kết hôn và có liên quan đến quy trình thực hiện theo quy định của Luật này.,CHUONG_2,,
12,Ai có quyền yêu cầu hủy việc kết hôn trái pháp luật?,"Người bị cưỡng ép kết hôn hoặc bị lừa dối kết hôn, theo quy định của pháp luật về tố tụng dân sự, có quyền tự mình yêu cầu hoặc đề nghị cá nhân, tổ chức quy định tại khoản 2 Điều này yêu cầu Tòa án hủy việc kết hôn trái pháp luật do việc kết hôn vi phạm quy định tại điểm b khoản 1 Điều 8 của Luật này.",CHUONG_2,,
13,"Ai có quyền yêu cầu hủy việc kết hôn nếu việc kết hôn vi phạm quy định tại các điểm a, c và d khoản 1 Điều 8 của Luật này?","Cá nhân, cơ quan, tổ chức quy định tại các điểm a, c và d khoản 2 Điều này có quyền theo quy định của pháp luật về tố tụng dân sự, yêu cầu Tòa án hủy việc kết hôn trái pháp luật do việc kết hôn vi phạm quy định tại các điểm a, c và d khoản 1 Điều 8 của Luật này.",CHUONG_2,,
14,Cơ quan quản lý nhà nước về gia đình có quyền gì liên quan đến việc hủy việc kết hôn trái pháp luật?,"Cơ quan quản lý nhà nước về gia đình có quyền theo quy định của pháp luật về tố tụng dân sự, yêu cầu Tòa án hủy việc kết hôn trái pháp luật do việc kết hôn vi phạm quy định tại các điểm a, c và d khoản 1 Điều 8 của Luật này.",CHUONG_2,,
15,Cơ quan quản lý nhà nước về trẻ em có quyền gì liên quan đến việc hủy việc kết hôn trái pháp luật?,"Cơ quan quản lý nhà nước về trẻ em có quyền theo quy định của pháp luật về tố tụng dân sự, yêu cầu Tòa án hủy việc kết hôn trái pháp luật do việc kết hôn vi phạm quy định tại các điểm a, c và d khoản 1 Điều 8 của Luật này.",CHUONG_2,,
16,Hội liên hiệp phụ nữ có quyền gì liên quan đến việc hủy việc kết hôn trái pháp luật?,"Hội liên hiệp phụ nữ có quyền theo quy định của pháp luật về tố tụng dân sự, yêu cầu Tòa án hủy việc kết hôn trái pháp luật do việc kết hôn vi phạm quy định tại các điểm a, c và d khoản 1 Điều 8 của Luật này.",CHUONG_2,,
17,"Cá nhân, cơ quan, tổ chức khác có quyền gì khi phát hiện việc kết hôn trái pháp luật?","Cá nhân, cơ quan, tổ chức khác khi phát hiện việc kết hôn trái pháp luật có quyền đề nghị cơ quan, tổ chức quy định tại các điểm b, c và d khoản 2 Điều này yêu cầu Tòa án hủy việc kết hôn trái pháp luật.",CHUONG_2,,
18,Tòa án thực hiện xử lý việc kết hôn trái pháp luật dựa trên quy định của đâu?,Tòa án thực hiện xử lý việc kết hôn trái pháp luật theo quy định tại Luật này và pháp luật về tố tụng dân sự.,CHUONG_2,,
