,question,answer,feedback,reward,category,intent
1,"Các thành viên gia đình có quyền, nghĩa vụ gì đối với nhau?","Các thành viên gia đình có quyền, nghĩa vụ quan tâm, chăm sóc, giúp đỡ, tôn trọng nhau. Quyền, lợi ích hợp pháp về nhân thân và tài sản của các thành viên gia đình quy định tại Luật Hôn nhân và Gia đình, Bộ luật dân sự và các luật khác có liên quan được pháp luật bảo vệ.",,1,CHUONG06,06_103_1
,Quyền và nghĩa vụ của các thành viên trong gia đình là gì?,"Các thành viên gia đình có quyền, nghĩa vụ quan tâm, chăm sóc, giúp đỡ, tôn trọng nhau. Quyền, lợi ích hợp pháp về nhân thân và tài sản của các thành viên gia đình.",,1,,06_103_1
2,"Trong trường hợp sống chung, thành viên gia đình có nghĩa vụ gì?","Trong trường hợp sống chung, các thành viên gia đình có nghĩa vụ tham gia công việc gia đình, lao động tạo thu nhập; đóng góp công sức, tiền hoặc tài sản khác để duy trì đời sống chung của gia đình phù hợp với khả năng thực tế của mình.",,1,CHUONG06,06_103_2
,Khi sống chung với nhau các thành viên trong già đình có quyền và nghĩa vụ gì?,"Khi sống chung, các thành viên gia đình có nghĩa vụ tham gia công việc gia đình, lao động tạo thu nhập; đóng góp công sức, tiền hoặc tài sản khác để duy trì đời sống chung của gia đình phù hợp với khả năng thực tế của mình.",,1,,06_103_2
,Sống chung với anh chị và ba mẹ cần thực hiện quyền nghĩa vụ gì không?,"Có, khi sống chung với các thành viên gia đình có nghĩa vụ tham gia công việc gia đình, lao động tạo thu thập, đóng góp công sức, tiền, tài sản để duy trì đời sống chung.",,1,,06_103_2
3,Nhà nước có chính sách gì đối với quan hệ trong gia đình?,"Nhà nước có chính sách tạo điều kiện để các thế hệ trong gia đình quan tâm, chăm sóc, giúp đỡ nhau nhằm giữ gìn và phát huy truyền thống tốt đẹp của gia đình Việt Nam; khuyến khích các cá nhân, tổ chức trong xã hội cùng tham gia vào việc giữ gìn, phát huy truyền thống tốt đẹp của gia đình Việt Nam.",,1,CHUONG06,06_103_3
,Có chính sách gì liên quan đến các thành viên gia đình không?,"Có, nhà nước có chính sách tạo điều kiện để các thế hệ trong gia đình quan tâm, chăm sóc, giúp đỡ nhau.",,1,,06_103_3
4,"Ông bà nội, ông bà ngoại có quyền, nghĩa vụ gì đối với cháu?","Ông bà nội, ông bà ngoại có quyền, nghĩa vụ trông nom, chăm sóc, giáo dục cháu, sống mẫu mực và nêu gương tốt cho con cháu; trường hợp cháu chưa thành niên, cháu đã thành niên mất năng lực hành vi dân sự hoặc không có khả năng lao động và không có tài sản để tự nuôi mình mà không có người nuôi dưỡng theo quy định tại Điều 105 của Luật Hôn Nhân và Gia Đình thì ông bà nội, ông bà ngoại có nghĩa vụ nuôi dưỡng cháu.",,1,CHUONG06,06_104_1
,Quyền và nghĩa vụ của ông bà với cháu là gì?,"Ông bà nội, ông bà ngoại có quyền, nghĩa vụ trông nom, chăm sóc, giáo dục cháu, sống mẫu mực và nêu gương tốt cho con cháu; trường hợp cháu chưa thành niên, cháu đã thành niên mất năng lực hành vi dân sự hoặc không có khả năng lao động và không có tài sản để tự nuôi mình mà không có người nuôi dưỡng theo quy định tại Điều 105 của Luật Hôn Nhân và Gia Đình thì ông bà nội, ông bà ngoại có nghĩa vụ nuôi dưỡng cháu.",,1,,06_104_1
,Ông bà có phải chăm sóc cho cháu không?,"Có ông bà nội, ông bà ngoại có quyền nghĩa vụ trông nom, chăm sóc, giáo dục cháu, sống mẫu mực và nêu gương tốt cho cháu.",,1,,06_104_1
5,"Cháu có nghĩa vụ gì đối với ông bà nội, ông bà ngoại?","Cháu có nghĩa vụ kính trọng, chăm sóc, phụng dưỡng ông bà nội, ông bà ngoại; trường hợp ông bà nội, ông bà ngoại không có con để nuôi dưỡng mình thì cháu đã thành niên có nghĩa vụ nuôi dưỡng.",,1,CHUONG06,06_104_2
,Người cháu có phải thực hiện quyền nghĩa vụ gì với ông bà không?,"Cháu có nghĩa vụ kính trọng, chăm sóc, phụng dưỡng ông bà nội, ông bà ngoại; trường hợp ông bà nội, ông bà ngoại không có con để nuôi dưỡng mình thì cháu đã thành niên có nghĩa vụ nuôi dưỡng.",,1,,06_104_2
,Cháu đã đi làm có phải nuôi dưỡng ông bà không?,"Có, cháu có nghĩa vụ nuôi dưỡng với ông bà nội, ông bà ngoại nếu không có con để nuôi dưỡng mình",,1,,06_104_2
6,"Anh, chị, em có quyền, nghĩa vụ gì đối với nhau?","Anh, chị, em có quyền, nghĩa vụ thương yêu, chăm sóc, giúp đỡ nhau; có quyền, nghĩa vụ nuôi dưỡng nhau trong trường hợp không còn cha mẹ hoặc cha mẹ không có điều kiện trông nom, nuôi dưỡng, chăm sóc, giáo dục con.",,1,CHUONG06,06_105
,"Quyền và nghĩa vụ của anh, chị, em là gì?","Anh, chị, em có quyền, nghĩa vụ thương yêu, chăm sóc, giúp đỡ nhau; có quyền, nghĩa vụ nuôi dưỡng nhau trong trường hợp không còn cha mẹ hoặc cha mẹ không có điều kiện trông nom, nuôi dưỡng, chăm sóc, giáo dục con.",,1,,06_105
,Anh chị em trong gia đình có phải nuôi dưỡng nhau không?,"Có, anh chị em có nghĩa vụ thương yêu chăm sóc giúp đỡ nhau, nuôi dưỡng nhau trong trường hợp không còn cha mẹ hoặc cha mẹ không c1o điều kiện trông nom nuôi dưỡng chăm sóc giáo dục con",,1,,06_105
7,"Cô, dì, chú, cậu, bác ruột và cháu ruột có quyền, nghĩa vụ gì đối với nhau?","Cô, dì, chú, cậu, bác ruột và cháu ruột có quyền, nghĩa vụ thương yêu, chăm sóc, giúp đỡ nhau; có quyền, nghĩa vụ nuôi dưỡng nhau trong trường hợp người cần được nuôi dưỡng không còn cha, mẹ, con và những người được quy định tại Điều 104 và Điều 105 của Luật Hôn Nhân và Gia Đình hoặc còn nhưng những người này không có điều kiện để thực hiện nghĩa vụ nuôi dưỡng.",,1,CHUONG06,06_106
